program_name,url,calendar_type
Minor in Communication,https://catalog.drexel.edu/undergraduate/collegeofartsandsciences/communicationminor/,Quarter
Minor in Computer Crime,https://catalog.drexel.edu/undergraduate/collegeofartsandsciences/computercrimeminor/,Quarter
Minor in Computer Engineering,https://catalog.drexel.edu/undergraduate/collegeofengineering/computerengineeringminor/index.html,Quarter
Minor in Computer Science,https://catalog.drexel.edu/undergraduate/collegeofcomputingandinformatics/computerscienceminor/index.html,Quarter
Minor in Computing Technology,https://catalog.drexel.edu/undergraduate/collegeofcomputingandinformatics/computingtechnologyminor/index.html,Quarter
Minor in Construction Management,https://catalog.drexel.edu/undergraduate/collegeofengineering/constructionmanagementminor/index.html,Quarter
Minor in Corporate Entrepreneurship,https://catalog.drexel.edu/undergraduate/schoolofentrepreneurship/corporateentrepreneurship,Quarter
Minor in Criminal Justice,https://catalog.drexel.edu/undergraduate/collegeofartsandsciences/criminaljusticeminor/index.html,Quarter
Minor in Culinary Arts,https://catalog.drexel.edu/undergraduate/collegeofnursingandhealthprofessions/culinaryartsminor/index.html,Quarter
Minor in Dance,https://catalog.drexel.edu/undergraduate/collegeofmediaartsanddesign/danceminor/index.html,Quarter
Minor in Data Science,https://catalog.drexel.edu/undergraduate/collegeofcomputingandinformatics/datascienceminor/index.html,Quarter
Minor in DragonsTeach Certification Minor,https://catalog.drexel.edu/undergraduate/schoolofeducation/dragonsteachcertificationminor/,Quarter
Minor in DragonsTeach Math Certification Minor,https://catalog.drexel.edu/undergraduate/schoolofeducation/dragonsteachmathcertificationminor/,Quarter
Minor in DragonsTeach Middle Years Minor,https://catalog.drexel.edu/undergraduate/schoolofeducation/dragonsteachmiddleyearsminor/,Quarter
Minor in DragonsTeach Middle Years Certification Minor,https://catalog.drexel.edu/undergraduate/schoolofeducation/dragonsteachmiddleyearscertificationminor/,Quarter
Minor in Ecology,https://catalog.drexel.edu/undergraduate/collegeofartsandsciences/ecology/,Quarter
Minor in Economics,https://catalog.drexel.edu/undergraduate/schoolofeconomics/economicsminor/index.html,Quarter
Minor in Education,https://catalog.drexel.edu/undergraduate/schoolofeducation/education/,Quarter
Minor in Electrical Engineering,https://catalog.drexel.edu/undergraduate/collegeofengineering/electricalengineeringminor/index.html,Quarter
Minor in Engineering Leadership,https://catalog.drexel.edu/undergraduate/collegeofengineering/engineeringleadership/index.html,Quarter
Minor in Engineering Management,https://catalog.drexel.edu/undergraduate/collegeofengineering/engineeringmanagement/,Quarter
Minor in Engineering Policy Analysis,https://catalog.drexel.edu/undergraduate/collegeofengineering/engineeringpolicyanalysis/,Quarter
Minor in Engineering Product Development,https://catalog.drexel.edu/undergraduate/collegeofengineering/engineeringproductdevelopmentminor/index.html,Quarter
Minor in English,https://catalog.drexel.edu/undergraduate/collegeofartsandsciences/englishminor/index.html,Quarter
Minor in Entertainment & Arts Management,https://catalog.drexel.edu/undergraduate/collegeofmediaartsanddesign/entertainmentandartsmanagementminor/index.html,Quarter
Minor in Entertainment Engineering,https://catalog.drexel.edu/undergraduate/collegeofengineering/entertainmentengineeringminor,Quarter
Minor in Entrepreneurship and Innovation,https://catalog.drexel.edu/undergraduate/schoolofentrepreneurship/entrepreneurshipandinnovationminor/index.html,Quarter
Minor in Environmental Engineering,https://catalog.drexel.edu/undergraduate/collegeofengineering/environmentalengineeringminor/index.html,Quarter
Minor in Environmental Public Health,https://catalog.drexel.edu/undergraduate/schoolofpublichealth/environmentalpublichealthminor/,Quarter
Minor in Environmental Studies,https://catalog.drexel.edu/undergraduate/collegeofartsandsciences/environmentalstudiesminor/index.html,Quarter
Minor in Epidemiology,https://catalog.drexel.edu/undergraduate/schoolofpublichealth/epidemiologyminor/index.html,Quarter
Minor in Esports,https://catalog.drexel.edu/undergraduate/collegeofmediaartsanddesign/esportsminor/,Quarter
Minor in Exercise Science,https://catalog.drexel.edu/undergraduate/collegeofnursingandhealthprofessions/exercisescienceminor/index.html,Quarter
Minor in Film Studies,https://catalog.drexel.edu/undergraduate/collegeofmediaartsanddesign/filmstudiesminor/,Quarter
Minor in Finance,https://catalog.drexel.edu/undergraduate/collegeofbusiness/financeminor/index.html,Quarter
Minor in Financial Technology,https://catalog.drexel.edu/undergraduate/collegeofbusiness/financialtechnologyminor/index.html,Quarter
Minor in Fine Arts,https://catalog.drexel.edu/undergraduate/collegeofmediaartsanddesign/fineart/,Quarter
Minor in Food Science,https://catalog.drexel.edu/undergraduate/collegeofnursingandhealthprofessions/foodscienceminor/index.html,Quarter
Minor in Food Studies,https://catalog.drexel.edu/undergraduate/collegeofnursingandhealthprofessions/foodstudiesminor/index.html,Quarter
Minor in Geoscience,https://catalog.drexel.edu/undergraduate/collegeofartsandsciences/geoscienceminor/index.html,Quarter
Minor in Global Engineering,https://catalog.drexel.edu/undergraduate/collegeofengineering/globalengineering/,Quarter
Minor in Global Public Health,https://catalog.drexel.edu/undergraduate/schoolofpublichealth/globalpublichealthminor/index.html,Quarter
Minor in Global Studies,https://catalog.drexel.edu/undergraduate/collegeofartsandsciences/globalstudiesminor/index.html,Quarter
Minor in Graphic Design,https://catalog.drexel.edu/undergraduate/collegeofmediaartsanddesign/graphicdesignminor/index.html,Quarter
Minor in Green Energy and Sustainability,https://catalog.drexel.edu/undergraduate/collegeofengineering/greenenergyandsustainabilityminor/index.html,Quarter
Minor in Health and Social Justice,https://catalog.drexel.edu/undergraduate/schoolofpublichealth/healthandsocialjusticeminor/index.html,Quarter
Minor in Health Services Administration,https://catalog.drexel.edu/undergraduate/collegeofnursingandhealthprofessions/healthservicesadministrationminor/index.html,Quarter
Minor in History,https://catalog.drexel.edu/undergraduate/collegeofartsandsciences/historyminor/index.html,Quarter
